Date;Time;Severity;Message
2026/06/26;11:04:25.563;INFO;[Config    ] Configuring the converter.;
2026/06/26;11:04:25.564;INFO;[Config    ] Configuration finished successfully..;
2026/06/26;11:04:25.564;INFO;================================================================================;
2026/06/26;11:04:25.564;INFO;[Validation] Validating acc_csc_004_001.xosc.;
2026/06/26;11:04:25.565;INFO;--------------------------------------------------------------------------------;
2026/06/26;11:04:25.593;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/26;11:04:25.594;INFO;--------------------------------------------------------------------------------;
2026/06/26;11:04:25.641;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/26;11:04:25.641;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/26;11:04:25.641;INFO;[Validation] Validation finished. Duration: 77ms.;
2026/06/26;11:04:25.642;INFO;================================================================================;
2026/06/26;11:04:25.642;INFO;[Loading   ] Loading acc_csc_004_001.xosc;
2026/06/26;11:04:25.652;INFO;[Loading   ] Loading finished. Duration: 10ms;
2026/06/26;11:04:25.653;INFO;================================================================================;
2026/06/26;11:04:25.653;INFO;[Conversion] Converting acc_csc_004_001.xosc;
2026/06/26;11:04:26.793;INFO;[Conversion][Entity       ] Entity: Ego. Vehicle Infofile "acc_csc_004_Ego" is found in project directory;
2026/06/26;11:04:26.793;INFO;[Conversion][Entity       ] Entity: TV. Traffic template file "acc_csc_004_TV" is found in project directory. File "acc_csc_004_TV" updated in project directory.;
2026/06/26;11:04:26.793;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/26;11:04:26.793;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/26;11:04:26.794;ERROR;[Conversion][Entity       ] Entity: Ego. No events are defined for ego vehicle and default maneuver is not activated. This may result in a not-executable test run. Consider using default maneuver.;
2026/06/26;11:04:26.794;INFO;[Conversion][Entity       ] Entity: Ego. Converting Maneuvers as Ego.;
2026/06/26;11:04:26.794;INFO;[Conversion][Entity       ] Entity: TV. Converting Maneuvers.;
2026/06/26;11:04:26.794;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_cutin_event. Converted.;
2026/06/26;11:04:26.794;INFO;[Conversion]        [Action       ] Action: TV_cutin_action. Converted.;
2026/06/26;11:04:26.794;INFO;[Conversion]        [Condition    ] Condition: TV_cutin_start. Converted.;
2026/06/26;11:04:26.794;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_maintain_speed_event. Converted.;
2026/06/26;11:04:26.794;INFO;[Conversion]        [Action       ] Action: TV_maintain_speed_action. Converted.;
2026/06/26;11:04:26.794;INFO;[Conversion]        [Condition    ] Condition: TV_maintain_speed_condition. Converted.;
2026/06/26;11:04:26.794;INFO;[Conversion] Conversion finished. Duration: 1s 141ms;
2026/06/26;11:04:26.794;INFO;================================================================================;
2026/06/26;11:04:26.794;INFO;[Write     ] Writing InfoFiles;
2026/06/26;11:04:26.798;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/26;11:04:26.799;INFO;[Write     ] TestRun file path: Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_004;
2026/06/26;11:04:26.799;INFO;[Write     ] Road file path: Data\Road\ALKS_Road_Different_Curvatures.rd5;
2026/06/26;11:04:26.800;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260626_110425_acc_csc_004_001.txt;
2026/06/26;11:04:26.801;INFO;[Write     ] Writing finished. Duration: 6ms;
2026/06/26;11:04:26.801;INFO;================================================================================;
2026/06/26;11:04:26.801;INFO;Process finished successfully. Total conversion time: 1s 236ms;
2026/06/26;11:04:26.801;INFO;================================================================================;
