Date;Time;Severity;Message
2026/06/26;11:14:04.990;INFO;[Config    ] Configuring the converter.;
2026/06/26;11:14:04.992;INFO;[Config    ] Configuration finished successfully..;
2026/06/26;11:14:04.992;INFO;================================================================================;
2026/06/26;11:14:04.992;INFO;[Validation] Validating acc_csc_015_001.xosc.;
2026/06/26;11:14:04.993;INFO;--------------------------------------------------------------------------------;
2026/06/26;11:14:05.022;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/26;11:14:05.030;INFO;--------------------------------------------------------------------------------;
2026/06/26;11:14:05.078;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/26;11:14:05.079;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/26;11:14:05.079;INFO;[Validation] Validation finished. Duration: 87ms.;
2026/06/26;11:14:05.079;INFO;================================================================================;
2026/06/26;11:14:05.079;INFO;[Loading   ] Loading acc_csc_015_001.xosc;
2026/06/26;11:14:05.090;INFO;[Loading   ] Loading finished. Duration: 11ms;
2026/06/26;11:14:05.090;INFO;================================================================================;
2026/06/26;11:14:05.090;INFO;[Conversion] Converting acc_csc_015_001.xosc;
2026/06/26;11:14:06.236;INFO;[Conversion][Entity       ] Entity: Ego. Vehicle Infofile "acc_csc_015_Ego" is found in project directory;
2026/06/26;11:14:06.236;INFO;[Conversion][Entity       ] Entity: TV. Traffic template file "acc_csc_015_TV" is found in project directory. File "acc_csc_015_TV" updated in project directory.;
2026/06/26;11:14:06.236;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/26;11:14:06.236;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/26;11:14:06.237;INFO;[Conversion][Entity       ] Entity: Ego. Converting Maneuvers as Ego.;
2026/06/26;11:14:06.237;INFO;[Conversion]    [Event        ] Event: act_1->Ego_cutout->Ego_cutout_maneuver->Ego_cutout_event. Converted.;
2026/06/26;11:14:06.237;INFO;[Conversion]        [Action       ] Action: Ego_cutout_action. Converted.;
2026/06/26;11:14:06.237;INFO;[Conversion]        [Condition    ] Condition: Ego_cutout_start. Converted.;
2026/06/26;11:14:06.237;INFO;[Conversion]    [Event        ] Event: act_1->Ego_cutout->Ego_cutout_maneuver->Ego_maintain_speed_event. Converted.;
2026/06/26;11:14:06.237;INFO;[Conversion]        [Action       ] Action: Ego_maintain_speed. Converted.;
2026/06/26;11:14:06.237;INFO;[Conversion]        [Condition    ] Condition: Ego_maintain_speed_condition. Converted.;
2026/06/26;11:14:06.237;INFO;[Conversion] Conversion finished. Duration: 1s 147ms;
2026/06/26;11:14:06.237;INFO;================================================================================;
2026/06/26;11:14:06.237;INFO;[Write     ] Writing InfoFiles;
2026/06/26;11:14:06.241;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/26;11:14:06.241;INFO;[Write     ] TestRun file path: Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_015;
2026/06/26;11:14:06.242;INFO;[Write     ] Road file path: Data\Road\ALKS_Road_Different_Curvatures.rd5;
2026/06/26;11:14:06.243;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260626_111404_acc_csc_015_001.txt;
2026/06/26;11:14:06.243;INFO;[Write     ] Writing finished. Duration: 6ms;
2026/06/26;11:14:06.243;INFO;================================================================================;
2026/06/26;11:14:06.243;INFO;Process finished successfully. Total conversion time: 1s 251ms;
2026/06/26;11:14:06.243;INFO;================================================================================;
