Date;Time;Severity;Message
2026/06/26;10:36:44.509;INFO;[Config    ] Configuring the converter.;
2026/06/26;10:36:44.510;INFO;[Config    ] Configuration finished successfully..;
2026/06/26;10:36:44.510;INFO;================================================================================;
2026/06/26;10:36:44.510;INFO;[Validation] Validating acc_csc_012_001.xosc.;
2026/06/26;10:36:44.511;INFO;--------------------------------------------------------------------------------;
2026/06/26;10:36:44.547;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/26;10:36:44.547;INFO;--------------------------------------------------------------------------------;
2026/06/26;10:36:44.599;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/26;10:36:44.600;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/26;10:36:44.600;INFO;[Validation] Validation finished. Duration: 89ms.;
2026/06/26;10:36:44.600;INFO;================================================================================;
2026/06/26;10:36:44.600;INFO;[Loading   ] Loading acc_csc_012_001.xosc;
2026/06/26;10:36:44.622;INFO;[Loading   ] Loading finished. Duration: 22ms;
2026/06/26;10:36:44.622;INFO;================================================================================;
2026/06/26;10:36:44.622;INFO;[Conversion] Converting acc_csc_012_001.xosc;
2026/06/26;10:36:45.850;INFO;[Conversion][Entity       ] Entity: Ego. Vehicle Infofile "acc_csc_012_001_Ego" is found in project directory;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: Pedestrian. Traffic template file "acc_csc_012_001_Pedestrian" is found in project directory. File "acc_csc_012_001_Pedestrian" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: TV1. Traffic template file "acc_csc_012_001_TV1" is found in project directory. File "acc_csc_012_001_TV1" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: TV2. Traffic template file "acc_csc_012_001_TV2" is found in project directory. File "acc_csc_012_001_TV2" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: car1. Traffic template file "acc_csc_012_001_car1" is found in project directory. File "acc_csc_012_001_car1" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: car2. Traffic template file "acc_csc_012_001_car2" is found in project directory. File "acc_csc_012_001_car2" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: car3. Traffic template file "acc_csc_012_001_car3" is found in project directory. File "acc_csc_012_001_car3" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: park_car1. Traffic template file "acc_csc_012_001_park_car1" is found in project directory. File "acc_csc_012_001_park_car1" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: park_car2. Traffic template file "acc_csc_012_001_park_car2" is found in project directory. File "acc_csc_012_001_park_car2" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion][Entity       ] Entity: park_car3. Traffic template file "acc_csc_012_001_park_car3" is found in project directory. File "acc_csc_012_001_park_car3" updated in project directory.;
2026/06/26;10:36:45.851;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/26;10:36:45.851;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/26;10:36:45.851;ERROR;[Conversion][Entity       ] Entity: Ego. No events are defined for ego vehicle and default maneuver is not activated. This may result in a not-executable test run. Consider using default maneuver.;
2026/06/26;10:36:45.852;INFO;[Conversion][Entity       ] Entity: Ego. Converting Maneuvers as Ego.;
2026/06/26;10:36:45.852;INFO;[Conversion][Entity       ] Entity: TV1. Converting Maneuvers.;
2026/06/26;10:36:45.852;INFO;[Conversion]    [Event        ] Event: act_1->TV1_cutout->TV1_cutout_maneuver->TV1_cutout_event. Converted.;
2026/06/26;10:36:45.852;INFO;[Conversion]        [Action       ] Action: TV1_cutout_action. Converted.;
2026/06/26;10:36:45.852;INFO;[Conversion]        [Condition    ] Condition: TV1_cutout_start. Converted.;
2026/06/26;10:36:45.852;INFO;[Conversion]    [Event        ] Event: act_1->TV1_cutout->TV1_cutout_maneuver->TV1_maintain_speed_event. Converted.;
2026/06/26;10:36:45.852;INFO;[Conversion]        [Action       ] Action: TV1_maintain_speed. Converted.;
2026/06/26;10:36:45.852;INFO;[Conversion]        [Condition    ] Condition: TV1_maintain_speed_condition. Converted.;
2026/06/26;10:36:45.852;INFO;[Conversion] Conversion finished. Duration: 1s 230ms;
2026/06/26;10:36:45.852;INFO;================================================================================;
2026/06/26;10:36:45.852;INFO;[Write     ] Writing InfoFiles;
2026/06/26;10:36:45.857;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/26;10:36:45.857;INFO;[Write     ] TestRun file path: Data\TestRun\OSC_Imported\ACC\acc_csc_012_001;
2026/06/26;10:36:45.858;INFO;[Write     ] Road file path: Data\Road\ALKS_Road_Different_Curvatures.rd5;
2026/06/26;10:36:45.859;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260626_103644_acc_csc_012_001.txt;
2026/06/26;10:36:45.859;INFO;[Write     ] Writing finished. Duration: 6ms;
2026/06/26;10:36:45.859;INFO;================================================================================;
2026/06/26;10:36:45.859;INFO;Process finished successfully. Total conversion time: 1s 349ms;
2026/06/26;10:36:45.860;INFO;================================================================================;
