Date;Time;Severity;Message
2026/06/26;11:26:29.072;INFO;[Config    ] Configuring the converter.;
2026/06/26;11:26:29.072;INFO;[Config    ] Configuration finished successfully..;
2026/06/26;11:26:29.073;INFO;================================================================================;
2026/06/26;11:26:29.073;INFO;[Validation] Validating acc_csc_017_001.xosc.;
2026/06/26;11:26:29.073;INFO;--------------------------------------------------------------------------------;
2026/06/26;11:26:29.096;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/26;11:26:29.097;INFO;--------------------------------------------------------------------------------;
2026/06/26;11:26:29.134;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/26;11:26:29.135;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/26;11:26:29.135;INFO;[Validation] Validation finished. Duration: 62ms.;
2026/06/26;11:26:29.135;INFO;================================================================================;
2026/06/26;11:26:29.136;INFO;[Loading   ] Loading acc_csc_017_001.xosc;
2026/06/26;11:26:29.145;INFO;[Loading   ] Loading finished. Duration: 10ms;
2026/06/26;11:26:29.146;INFO;================================================================================;
2026/06/26;11:26:29.146;INFO;[Conversion] Converting acc_csc_017_001.xosc;
2026/06/26;11:26:29.980;INFO;[Conversion][Entity       ] Entity: Ego. Vehicle Infofile "acc_csc_017_Ego" is found in project directory;
2026/06/26;11:26:29.980;INFO;[Conversion][Entity       ] Entity: TV. Traffic template file "acc_csc_017_TV" is found in project directory. File "acc_csc_017_TV" updated in project directory.;
2026/06/26;11:26:29.980;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/26;11:26:29.980;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/26;11:26:29.980;INFO;[Conversion][Entity       ] Entity: Ego. Converting Maneuvers as Ego.;
2026/06/26;11:26:29.981;INFO;[Conversion]    [Event        ] Event: act_1->Ego_cutout->Ego_cutout_maneuver->Ego_cutout_event. Converted.;
2026/06/26;11:26:29.981;INFO;[Conversion]        [Action       ] Action: Ego_cutout_action. Converted.;
2026/06/26;11:26:29.981;INFO;[Conversion]        [Condition    ] Condition: Ego_cutout_start. Converted.;
2026/06/26;11:26:29.981;INFO;[Conversion]    [Event        ] Event: act_1->Ego_cutout->Ego_cutout_maneuver->Ego_maintain_speed_event. Converted.;
2026/06/26;11:26:29.981;INFO;[Conversion]        [Action       ] Action: Ego_maintain_speed. Converted.;
2026/06/26;11:26:29.981;INFO;[Conversion]        [Condition    ] Condition: Ego_maintain_speed_condition. Converted.;
2026/06/26;11:26:29.981;INFO;[Conversion] Conversion finished. Duration: 835ms;
2026/06/26;11:26:29.981;INFO;================================================================================;
2026/06/26;11:26:29.981;INFO;[Write     ] Writing InfoFiles;
2026/06/26;11:26:29.984;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/26;11:26:29.984;INFO;[Write     ] TestRun file path: Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_017;
2026/06/26;11:26:29.985;INFO;[Write     ] Road file path: Data\Road\ALKS_Road_Different_Curvatures.rd5;
2026/06/26;11:26:29.985;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260626_112629_acc_csc_017_001.txt;
2026/06/26;11:26:29.986;INFO;[Write     ] Writing finished. Duration: 4ms;
2026/06/26;11:26:29.986;INFO;================================================================================;
2026/06/26;11:26:29.986;INFO;Process finished successfully. Total conversion time: 913ms;
2026/06/26;11:26:29.986;INFO;================================================================================;
