Date;Time;Severity;Message
2026/06/30;13:40:59.870;INFO;[Config    ] Configuring the converter.;
2026/06/30;13:40:59.871;INFO;[Config    ] Configuration finished successfully..;
2026/06/30;13:40:59.871;INFO;================================================================================;
2026/06/30;13:40:59.871;INFO;[Validation] Validating acc_csc_004_001.xosc.;
2026/06/30;13:40:59.872;INFO;--------------------------------------------------------------------------------;
2026/06/30;13:40:59.893;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/30;13:40:59.893;INFO;--------------------------------------------------------------------------------;
2026/06/30;13:40:59.931;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/30;13:40:59.931;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/30;13:40:59.931;INFO;[Validation] Validation finished. Duration: 59ms.;
2026/06/30;13:40:59.931;INFO;================================================================================;
2026/06/30;13:40:59.931;INFO;[Loading   ] Loading acc_csc_004_001.xosc;
2026/06/30;13:40:59.939;INFO;[Loading   ] Loading finished. Duration: 7ms;
2026/06/30;13:40:59.939;INFO;================================================================================;
2026/06/30;13:40:59.939;INFO;[Conversion] Converting acc_csc_004_001.xosc;
2026/06/30;13:41:00.737;INFO;[Conversion][Entity       ] Entity: Ego. Vehicle Infofile "acc_csc_004_Ego" is found in project directory;
2026/06/30;13:41:00.737;INFO;[Conversion][Entity       ] Entity: TV. Traffic template file "acc_csc_004_TV" is found in project directory. File "acc_csc_004_TV" updated in project directory.;
2026/06/30;13:41:00.737;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/30;13:41:00.737;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/30;13:41:00.737;INFO;[Conversion][Entity       ] Entity: TV. Converting Maneuvers.;
2026/06/30;13:41:00.737;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_cutin_event. Converted.;
2026/06/30;13:41:00.737;INFO;[Conversion]        [Action       ] Action: TV_cutin_action. Converted.;
2026/06/30;13:41:00.737;INFO;[Conversion]        [Condition    ] Condition: TV_cutin_start. Converted.;
2026/06/30;13:41:00.737;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_maintain_speed_event. Converted.;
2026/06/30;13:41:00.737;INFO;[Conversion]        [Action       ] Action: TV_maintain_speed_action. Converted.;
2026/06/30;13:41:00.737;INFO;[Conversion]        [Condition    ] Condition: TV_maintain_speed_condition. Converted.;
2026/06/30;13:41:00.737;INFO;[Conversion] Conversion finished. Duration: 797ms;
2026/06/30;13:41:00.737;INFO;================================================================================;
2026/06/30;13:41:00.737;INFO;[Write     ] Writing InfoFiles;
2026/06/30;13:41:00.739;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/30;13:41:00.739;INFO;[Write     ] TestRun file path: Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_004;
2026/06/30;13:41:00.740;INFO;[Write     ] Road file path: Data\Road\ALKS_Road_Different_Curvatures.rd5;
2026/06/30;13:41:00.740;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260630_134059_acc_csc_004_001.txt;
2026/06/30;13:41:00.741;INFO;[Write     ] Writing finished. Duration: 3ms;
2026/06/30;13:41:00.741;INFO;================================================================================;
2026/06/30;13:41:00.741;INFO;Process finished successfully. Total conversion time: 869ms;
2026/06/30;13:41:00.741;INFO;================================================================================;
