Date;Time;Severity;Message
2026/06/25;13:50:51.799;INFO;[Config    ] Configuring the converter.;
2026/06/25;13:50:51.799;INFO;[Config    ] Configuration finished successfully..;
2026/06/25;13:50:51.800;INFO;================================================================================;
2026/06/25;13:50:51.800;INFO;[Validation] Validating acc_csc_003_001.xosc.;
2026/06/25;13:50:51.800;INFO;--------------------------------------------------------------------------------;
2026/06/25;13:50:51.810;INFO;[Validation] Validation succeeded with 0 errors and 0 warnings.;
2026/06/25;13:50:51.817;INFO;--------------------------------------------------------------------------------;
2026/06/25;13:50:51.853;INFO;[Validation][Ego    ] Validation finished with 0 errors and 0 warnings.;
2026/06/25;13:50:51.853;INFO;[Validation][Traffic] Validation finished with 0 errors and 0 warnings.;
2026/06/25;13:50:51.853;INFO;[Validation] Validation finished. Duration: 53ms.;
2026/06/25;13:50:51.854;INFO;================================================================================;
2026/06/25;13:50:51.854;INFO;[Loading   ] Loading acc_csc_003_001.xosc;
2026/06/25;13:50:51.862;INFO;[Loading   ] Loading finished. Duration: 8ms;
2026/06/25;13:50:51.862;INFO;================================================================================;
2026/06/25;13:50:51.862;INFO;[Conversion] Converting acc_csc_003_001.xosc;
2026/06/25;13:50:52.819;WARN;[Conversion][Entity       ] Entity: Ego. Traffic template file "car_ego" cannot be located in either the project or installation directory. Check the vehicle name defined in ScenarioObject. This entity will be mapped with alternative methods;
2026/06/25;13:50:52.819;WARN;[Conversion][Entity       ] Entity: TV. Traffic template file "bus" cannot be located in either the project or installation directory. Check the vehicle name defined in ScenarioObject. This entity will be mapped with alternative methods;
2026/06/25;13:50:52.819;INFO;[Conversion][Entity       ] Entity: TV. File "acc_csc_003_TV" created in project directory;
2026/06/25;13:50:52.819;INFO;[Conversion] Global StopTrigger converted successfully.;
2026/06/25;13:50:52.819;INFO;[Conversion]        [Condition    ] Condition: end. Converted.;
2026/06/25;13:50:52.819;INFO;[Conversion][Entity       ] Entity: TV. Converting Maneuvers.;
2026/06/25;13:50:52.819;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_cutin_event. Converted.;
2026/06/25;13:50:52.819;INFO;[Conversion]        [Action       ] Action: TV_cutin_action. Converted.;
2026/06/25;13:50:52.819;INFO;[Conversion]        [Condition    ] Condition: TV_cutin_start. Converted.;
2026/06/25;13:50:52.819;INFO;[Conversion]    [Event        ] Event: act_1->TV_cutin->TV_cutin_maneuver->TV_maintain_speed_event. Converted.;
2026/06/25;13:50:52.819;INFO;[Conversion]        [Action       ] Action: TV_maintain_speed_action. Converted.;
2026/06/25;13:50:52.819;INFO;[Conversion]        [Condition    ] Condition: TV_maintain_speed_condition. Converted.;
2026/06/25;13:50:52.819;INFO;[Conversion] Conversion finished. Duration: 956ms;
2026/06/25;13:50:52.819;INFO;================================================================================;
2026/06/25;13:50:52.819;INFO;[Write     ] Writing InfoFiles;
2026/06/25;13:50:52.821;INFO;[Write     ] Driver template file "Data\Driver\Template\Car_Normal_osc" is found in project directory;
2026/06/25;13:50:52.821;INFO;[Write     ] TestRun file path: Data\TestRun\acc_csc_003;
2026/06/25;13:50:52.822;INFO;[Write     ] Road file path: Data\Road\acc_csc_003_road.rd5;
2026/06/25;13:50:52.822;INFO;[Write     ] Log file path: SimOutput\OSC2CM_Log\OSC2CM_Log_20260625_135051_acc_csc_003_001.txt;
2026/06/25;13:50:52.822;INFO;[Write     ] Writing finished. Duration: 3ms;
2026/06/25;13:50:52.823;INFO;================================================================================;
2026/06/25;13:50:52.823;INFO;Process finished successfully. Total conversion time: 1s 22ms;
2026/06/25;13:50:52.823;INFO;================================================================================;
